"연번","업체아이디","킬로미터당원가","관할행정아이디","입력일자","최종처리자아이디","수정일자","영역분류","일일대당원가","평가연도","평가차수"
"1","1041","622","3","2012-07-10","1","2012-07-10","1","307546","2012","19"
"2","1000","461","30","2012-07-10","1","2012-07-10","2","305872","2012","19"
"3","1006","511","30","2012-07-10","1","2012-07-10","2","289164","2012","19"
"4","1010","494","30","2012-07-10","1","2012-07-10","2","214690","2012","19"
"5","1011","374","30","2012-07-10","1","2012-07-10","2","219583","2012","19"
"6","1012","535","30","2012-07-10","1","2012-07-10","2","234675","2012","19"
"7","1030","479","7","2012-07-15","1","2012-07-10","1","248352","2012","19"
"8","1044","1","","2012-07-09","1","2012-07-09","1","2","2012","20"
"9","1030","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"10","1044","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"11","1032","1","7","2012-07-09","1","2012-07-09","1","2","2012","20"
"12","1031","1","19","2012-07-09","1","2012-07-09","4","2","2012","20"
"13","1044","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"14","1013","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"15","1006","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"16","1006","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"17","1015","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"18","1043","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"19","1008","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"20","1016","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"21","1010","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"22","1034","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"23","1011","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"24","1011","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"25","1012","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"26","1012","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"27","1018","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"28","1025","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"29","1013","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"30","1014","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"31","1014","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"32","1041","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"33","1034","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"34","1040","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"35","1042","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"36","1035","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"37","1040","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"38","1023","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"39","1019","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"40","1038","1","30","2012-07-09","1","2012-07-09","3","2","2012","20"
"41","1000","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"42","1027","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"43","1025","1","30","2012-07-09","1","2012-07-09","2","2","2012","20"
"44","1001","1","14","2012-07-09","1","2012-07-09","4","2","2012","20"
"45","1002","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"46","1009","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"47","1004","1","5","2012-07-09","1","2012-07-09","1","2","2012","20"
"48","1016","1","15","2012-07-09","1","2012-07-09","4","2","2012","20"
"49","1024","1","6","2012-07-09","1","2012-07-09","1","2","2012","20"
"50","1029","1","4","2012-07-09","1","2012-07-09","1","2","2012","20"
"51","1011","1","4","2012-07-09","1","2012-07-09","1","2","2012","20"
"52","1026","1","17","2012-07-09","1","2012-07-09","4","2","2012","20"
"53","1042","1","8","2012-07-09","1","2012-07-09","1","2","2012","20"
"54","1006","1","8","2012-07-09","1","2012-07-09","1","2","2012","20"
"55","1031","1","11","2012-07-09","1","2012-07-09","4","2","2012","20"
"56","1013","1","11","2012-07-09","1","2012-07-09","4","2","2012","20"
"57","1028","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"58","1018","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"59","1025","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"60","1046","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"61","1035","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"62","1044","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"63","1037","1","2","2012-07-09","1","2012-07-09","1","2","2012","20"
"64","1007","1","13","2012-07-09","1","2012-07-09","4","2","2012","20"
"65","1036","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"66","1033","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"67","1022","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"68","1038","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"69","1017","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"70","1039","1","1","2012-07-09","1","2012-07-09","1","2","2012","20"
"71","1005","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"72","1034","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"73","1038","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"74","1020","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"75","1039","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"76","1019","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"77","1033","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"78","1017","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"79","1003","1","1","2013-07-15","1","2013-07-15","1","2","2013","24"
"80","1041","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"81","1034","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"82","1025","1","3","2013-07-15","1","2013-07-15","1","2","2013","24"
"83","1035","1","16","2013-07-15","1","2013-07-15","4","2","2013","24"
"84","1021","1","12","2013-07-15","1","2013-07-15","4","2","2013","24"
"85","1031","1","18","2013-07-15","1","2013-07-15","4","2","2013","24"
"86","1008","1","18","2013-07-15","1","2013-07-15","4","2","2013","24"
"87","1031","1","20","2013-07-15","1","2013-07-15","4","2","2013","24"
"88","1031","306","18","2013-07-15","1","2013-07-15","4","186680","2013","26"
"89","1021","623","12","2013-07-15","1","2013-07-15","4","264156","2013","26"
"90","1035","494","16","2013-07-15","1","2013-07-15","4","219145","2013","26"
"91","1025","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"92","1034","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"93","1041","737","3","2013-07-15","1","2013-07-15","1","307272","2013","26"
"94","1032","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"95","1044","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"96","1030","1","7","2013-07-15","1","2013-07-15","1","2","2013","24"
"97","1031","1","19","2013-07-15","1","2013-07-15","4","2","2013","24"
"98","1023","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"99","1000","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"100","1006","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"101","1006","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"102","1025","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"103","1025","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"104","1008","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"105","1040","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"106","1010","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"107","1018","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"108","1011","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"109","1011","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"110","1012","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"111","1012","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"112","1042","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"113","1013","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"114","1013","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"115","1014","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"116","1014","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"117","1015","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"118","1035","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"119","1016","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"120","1041","1","30","2013-07-15","1","2013-07-15","3","2","2013","24"
"121","1044","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
"122","1034","1","30","2013-07-15","1","2013-07-15","2","2","2013","24"
