행정시,가맹점명,전화번호,주소,데이터기준일자
제주시,인디언썸머,064-678-4208,제주특별자치도 제주시 애월읍 애월로4길 9,2022-03-31
서귀포시,애월연어 안덕점,064-692-6607,제주특별자치도 서귀포시 안덕면 산록남로 684,2022-03-31
제주시,남가네설악추어탕도련점,064-702-0009,제주특별자치도 제주시 삼봉로 134,2022-03-31
제주시,레인원,064-702-0014,제주특별자치도 제주시 무근성7길 6,2022-03-31
제주시,권주가,064-702-0022,제주특별자치도 제주시 천수로 82,2022-03-31
제주시,주도,064-702-0022,제주특별자치도 제주시 천수로 82,2022-03-31
제주시,바르다김선생이도점,064-702-0023,제주특별자치도 제주시 중앙로 377,2022-03-31
제주시,속초식당,064-702-0036,제주특별자치도 제주시 임항로 39-1,2022-03-31
제주시,만두사랑,064-702-0039,제주특별자치도 제주시 신성로10길 9,2022-03-31
제주시,펠롱,064-702-0039,제주특별자치도 제주시 신성로10길 9,2022-03-31
제주시,파리바게뜨제주법원점,064-702-0053,제주특별자치도 제주시 구남로 56,2022-03-31
제주시,호텔펄리플러스구내/주식회사 보민,064-702-0071,제주특별자치도 제주시 도두봉2길 2,2022-03-31
제주시,원삼계탕아라점,064-702-0111,제주특별자치도 제주시 인다15길 10,2022-03-31
제주시,대명식당,064-702-0151,제주특별자치도 제주시 도남로 62-1,2022-03-31
제주시,상아탑,064-702-0155,제주특별자치도 제주시 산천단동3길 16,2022-03-31
제주시,원비삼계탕봉개점,064-702-0161,제주특별자치도 제주시 봉개대동6길 5,2022-03-31
제주시,미니멜츠제주,064-702-0177,제주특별자치도 제주시 관덕로6길 14,2022-03-31
제주시,진이식당,064-702-0214,제주특별자치도 제주시 516로 3109,2022-03-31
제주시,내가찾은맛고을,064-702-0216,제주특별자치도 제주시 청풍길 14-2,2022-03-31
제주시,박샘플라워,064-702-0234,제주특별자치도 제주시 중앙로 124-1,2022-03-31
제주시,하나축산유통,064-702-0331,제주특별자치도 제주시 가령로 35,2022-03-31
제주시,헬렌앤마리,064-702-0427,제주특별자치도 제주시 관덕로8길 11,2022-03-31
제주시,서부두한라,064-702-0442,제주특별자치도 제주시 서부두길 8,2022-03-31
제주시,미인빵,064-702-0450,제주특별자치도 제주시 아라일동 6089-4,2022-03-31
제주시,태백아놀자,064-702-0490,제주특별자치도 제주시 연수로4길 1,2022-03-31
제주시,명랑밥집식당,064-702-0491,제주특별자치도 제주시 서문로 69-1,2022-03-31
제주시,경인축산유통,064-702-0506,제주특별자치도 제주시 진남로6길 22,2022-03-31
제주시,제대로떡볶이,064-702-0510,제주특별자치도 제주시 산천단동3길 6-1,2022-03-31
제주시,농업회사법인주식회사혼디축산,064-702-0526,제주특별자치도 제주시 도리로 70,2022-03-31
제주시,내가진짜떡볶이다칠성로점,064-702-0550,제주특별자치도 제주시 관덕로11길 18,2022-03-31
제주시,혼디푸드,064-702-0567,제주특별자치도 제주시 도리로 70,2022-03-31
제주시,안다미로늘봄,064-702-0607,제주특별자치도 제주시 구남로6길 45,2022-03-31
제주시,우정슈퍼,064-702-0744,제주특별자치도 제주시 진남로 56,2022-03-31
제주시,시민명가,064-702-0782,제주특별자치도 제주시 남성로26길 46,2022-03-31
제주시,고향,064-702-0802,제주특별자치도 제주시 관덕로9길 10,2022-03-31
제주시,동문감자탕,064-702-0876,제주특별자치도 제주시 중앙로13길 25-2,2022-03-31
제주시,산내들,064-702-0885,제주특별자치도 제주시 서광로4길 16,2022-03-31
제주시,주먹이네,064-702-0906,제주특별자치도 제주시 남광로4길 29,2022-03-31
제주시,메종드쁘띠푸르2호점,064-702-0919,제주특별자치도 제주시 신설로6길 2-11,2022-03-31
제주시,주식회사메종드쁘띠푸르,064-702-0919,제주특별자치도 제주시 신설로7길 3,2022-03-31
제주시,가야복집,064-702-1123,제주특별자치도 제주시 오복2길 35,2022-03-31
제주시,24시국수회관,064-702-1162,제주특별자치도 제주시 남성로 122-1,2022-03-31
제주시,가메오름,064-702-1164,제주특별자치도 제주시 서광로2길 5-12,2022-03-31
제주시,가메오름,064-702-1164,제주특별자치도 제주시 서광로2길 5-12,2022-03-31
제주시,거마가든,064-702-1202,제주특별자치도 제주시 금월길 105,2022-03-31
제주시,피자베이제주점,064-702-1233,제주특별자치도 제주시 승천로 11-1,2022-03-31
제주시,동문김밥,064-702-1246,제주특별자치도 제주시 중앙로 85,2022-03-31
제주시,킹스토어일도점,064-702-1266,제주특별자치도 제주시 동광로 154,2022-03-31
제주시,수리조아,064-702-1292,제주특별자치도 제주시 고마로 51,2022-03-31
제주시,충민정,064-702-1337,제주특별자치도 제주시 남성로 26-1,2022-03-31
제주시,맛있다고 소문난집,064-702-1343,제주특별자치도 제주시 고마로9길 4,2022-03-31
제주시,빵집아저씨,064-702-1348,제주특별자치도 제주시 중앙로 574,2022-03-31
제주시,숙성육본점,064-702-1453,제주특별자치도 제주시 천수로6길 13,2022-03-31
제주시,광어공방 이도점,064-702-1511,제주특별자치도 제주시 신설로2길 1-3,2022-03-31
제주시,산천단토종닭,064-702-1582,제주특별자치도 제주시 516로 3041-24,2022-03-31
제주시,푸라닭제주대점,064-702-1588,제주특별자치도 제주시 산천단동3길 13,2022-03-31
제주시,부비곶뼈해장국,064-702-1593,제주특별자치도 제주시 도남로 7,2022-03-31
제주시,써니홀딩스,064-702-1686,제주특별자치도 제주시 도남로 104,2022-03-31
제주시,호야치킨 앤 닭강정,064-702-1789,제주특별자치도 제주시 화삼북로 90,2022-03-31
제주시,딜리버리 패밀리,064-702-1819,제주특별자치도 제주시 도남로 38,2022-03-31
제주시,제로스테이션/주식회사 제로포인트트레일,064-702-1947,제주특별자치도 제주시 산지로 25,2022-03-31
제주시,남국후레쉬푸드,064-702-1960,제주특별자치도 제주시 대원북길 18,2022-03-31
제주시,농업회사법인 남국후레쉬푸드 주식회사,064-702-1961,제주특별자치도 제주시 대원북길 13,2022-03-31
제주시,일구칠사뼈감탕,064-702-1974,제주특별자치도 제주시 첨단로 199,2022-03-31
제주시,인디,064-702-2001,제주특별자치도 제주시 광양11길 10,2022-03-31
제주시,다온,064-702-2003,제주특별자치도 제주시 도남로 40,2022-03-31
제주시,햇빛둥지,064-702-2004,제주특별자치도 제주시 한북로 272,2022-03-31
제주시,하이퍼마켓,064-702-2006,제주특별자치도 제주시 아라일동 1683,2022-03-31
제주시,지꺼지닭본점,064-702-2111,제주특별자치도 제주시 서광로32길 14,2022-03-31
제주시,지꺼지닭,064-702-2111,제주특별자치도 제주시 신성로13길 14-1,2022-03-31
제주시,라라쿵푸마라탕,064-702-2200,제주특별자치도 제주시 신성로13길 29,2022-03-31
제주시,화북손만두,064-702-2280,제주특별자치도 제주시 일주동로 254,2022-03-31
제주시,차이나는맨,064-702-2292,제주특별자치도 제주시 오남로 60,2022-03-31
서귀포시,한라산풍경,064-702-2308,제주특별자치도 서귀포시 남원읍 신례로 386-1,2022-03-31
제주시,신해바라기제2호점,064-702-2324,제주특별자치도 제주시 신산로 67,2022-03-31
제주시,원신아구찜분식,064-702-2358,제주특별자치도 제주시 아라일동 1318-3,2022-03-31
제주시,도니버거,064-702-2365,제주특별자치도 제주시 중앙로 60,2022-03-31
제주시,돈삼겹직영5호점,064-702-2393,제주특별자치도 제주시 신설로9길 37,2022-03-31
제주시,김순례닭강정제주점,064-702-2415,제주특별자치도 제주시 연신로 39,2022-03-31
제주시,혜수의 밥상,064-702-2468,제주특별자치도 제주시 서사로 77,2022-03-31
제주시,남춘,064-702-2588,제주특별자치도 제주시 청귤로 12,2022-03-31
제주시,우아한끼,064-702-2650,제주특별자치도 제주시 신성로13길 22,2022-03-31
제주시,청춘포차,064-702-2738,제주특별자치도 제주시 서사로 35,2022-03-31
제주시,오라찐맛짬뽕,064-702-2999,제주특별자치도 제주시 오남로 60,2022-03-31
제주시,우리동네,064-702-3033,제주특별자치도 제주시 인다5길 11-5,2022-03-31
제주시,삼양장원,064-702-3088,제주특별자치도 제주시 일주동로 392,2022-03-31
제주시,거인의정원,064-702-3237,제주특별자치도 제주시 대원길 58,2022-03-31
제주시,너울가지,064-702-3249,제주특별자치도 제주시 아란5길 31-3,2022-03-31
